quarter;quarter_date;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10
I 1997;01.01.1997;37,26;17,92;48,73;17,69;5;73,2;73,2;239;239,11;22,06
II 1997;01.04.1997;73,11;32,58;84,55;30,95;24;93,77;60;258;232,83;34,16
III 1997;01.07.1997;38,93;51,36;45,76;33,72;60;99,17;46,5;280;210,83;32,29
IV 1997;01.10.1997;70,39;113,09;60,38;32,16;32;64,4;70,2;262;262,04;-29,99
I 1998;01.01.1998;10,99;137,24;35,7;93,02;53;123,83;54,4;274;227,14;2,23
II 1998;01.04.1998;66,99;151,01;87,01;86,57;97;64,98;52;329;245,74;-0,14
III 1998;01.07.1998;64,81;157,07;85,94;101,94;137;150,11;49,1;353;233,99;-1,09
IV 1998;01.10.1998;107,93;236,49;143,51;118,75;118;110,68;76;276;237,94;20,97
I 1999;01.01.1999;45,85;223,48;33,28;106,07;113;113,11;63,2;382;233,33;6,43
II 1999;01.04.1999;99,16;282,3;133,64;124,24;137;110,92;57,9;437;234,13;13,29
III 1999;01.07.1999;87,87;284,93;112,82;125,72;158;72,66;72,66;400;315,21;10,61
IV 1999;01.10.1999;88,45;328,65;72,74;126,31;126;95,85;91,2;297;212,45;1,2
I 2000;01.01.2000;63,85;406,55;103,65;134,17;134;119,01;78,9;440;211,86;14,68
II 2000;01.04.2000;105,66;367,87;124,23;157,67;157;114,24;72,8;500;266,59;4,43
III 2000;01.07.2000;105,62;370,08;124,49;173,4;189;120,64;66,7;445;249,84;-4,29
IV 2000;01.10.2000;129,29;430,08;170,27;158,34;158;86,98;100;413;295,14;-28,64
I 2001;01.01.2001;132,7;395,57;161,13;230,67;211;135,56;89,5;492;249,39;15,39
II 2001;01.04.2001;137,93;428,27;181,21;235,01;253;132,91;72,8;532;292,3;-23,44
III 2001;01.07.2001;137,84;490,12;150,95;213,47;263;121,16;93,9;492;262,41;5,84
IV 2001;01.10.2001;158,59;502,39;197,75;285,03;240;112,34;112,34;450;311,71;30,6
I 2002;01.01.2002;154,43;528,37;176,88;199,1;284;119,13;102,6;468;272,09;46,37
II 2002;01.04.2002;174,3;592,22;199,82;268,18;316;126,83;86,8;524;256,52;24,95
III 2002;01.07.2002;183,7;594,53;244,2;287,37;316;102,94;102,94;605;286,45;-0,86
IV 2002;01.10.2002;162,16;599,75;189,02;292,67;292;112,14;128,9;497;272,77;28,89
I 2003;01.01.2003;191,31;625,82;208,4;307,94;307;138,96;111,4;445;260,8;28,4
II 2003;01.04.2003;226,16;681,13;211,19;310,86;353;103,24;93;504;316,45;31,72
III 2003;01.07.2003;262,08;731,02;258,91;347,52;397;160,03;116,7;562;303,12;31,21
IV 2003;01.10.2003;291,44;694,18;321,57;355,1;355;138,28;138,28;454;355,63;23,02
I 2004;01.01.2004;272,92;745,36;293,26;357,05;380;98,78;116;457;354,3;12,64
II 2004;01.04.2004;302,23;790,22;333,6;348,87;426;149;104;510;380,25;13,69
III 2004;01.07.2004;323,66;772,85;283,81;389,7;460;124,27;124,27;467;362,29;-4,33
IV 2004;01.10.2004;382,3;869,02;375,38;383,26;383;148,74;148,74;424;402,19;13,62
I 2005;01.01.2005;377,94;871,44;363,82;402,61;413;142,25;93;516;368,14;46,5
II 2005;01.04.2005;409,12;878,85;404,27;432,87;460;170,11;86,8;537;375,11;10,23
III 2005;01.07.2005;418,23;898,02;434,47;432,19;480;157,76;104;494;403,62;-5,08
IV 2005;01.10.2005;475,85;932,06;482,71;426,01;426;133,88;153,5;446;446,38;-4,35
I 2006;01.01.2006;452,06;938,44;479,89;468,04;468;154,38;124,6;494;407,3;13,92
II 2006;01.04.2006;528,85;944,7;542,7;470,03;505;141,17;100;553;431,81;13,03
III 2006;01.07.2006;561,82;1013,3;589,11;483,11;555;158;136,8;574;502,04;78,1
IV 2006;01.10.2006;582,46;1052,46;607,87;495,3;495;178,5;185,1;487;487,48;11,39
